material_id,material_description,brand,product_category,product_subcategory,list_price_usd,avg_rating,loves_count,review_count,standard_cost_usd
P481141,Hair Alchemy Strengthening Conditioner,Oribe,Hair,Shampoo & Conditioner,55.0,4.36,10456,175.0,24.75
P461636,Mini Style + Protect Refresh & Go Dry Shampoo,Pureology,Hair,Hair Styling & Treatments,11.0,4.2454,2551,326.0,4.95
P389524,"Soft Curl - 1.25"" Curling Iron",ghd,Hair,Tools,205.0,3.4923,11818,65.0,92.25
P473260,Power Hour Curl Refreshing Spray,amika,Hair,Hair Styling & Treatments,28.0,3.4,7314,10.0,12.6
P502068,Mini Hydro Style Flexi Hair Jelly,Curlsmith,Hair,Hair Styling & Treatments,12.0,5.0,1142,2.0,5.4
P480634,Hyaluronic Acid Hydrating Hair Treatment,The INKEY List,Hair,Hair Styling & Treatments,10.99,4.2604,24725,169.0,4.95
P479829,The Bond-Building Repair Trio,Bumble and bumble,Hair,Value & Gift Sets,28.0,3.8571,4488,14.0,12.6
P479969,Complete Hydration Hair Set,JVN,Hair,Value & Gift Sets,24.0,3.2826,10396,92.0,10.8
P504453,GRO Revitalizing Shampoo and Conditioner Set for Thinning Hair,Vegamour,Hair,Value & Gift Sets,86.0,4.3429,2147,35.0,38.7
P269707,CAVIAR Anti-Aging Replenishing Moisture Masque,ALTERNA Haircare,Hair,Hair Styling & Treatments,45.0,3.9368,4688,95.0,20.25
P462387,All in One Leave-In Conditioner,Moroccanoil,Hair,Hair Styling & Treatments,30.0,4.5997,51662,1931.0,13.5
P413684,Detangling Brush,Verb,Hair,Tools,20.0,4.1067,8143,150.0,9.0
P477822,Curl Gel Pomade,Bumble and bumble,Hair,Hair Styling & Treatments,32.0,3.5,1204,2.0,14.4
P296439,Restore Shampoo,Living Proof,Hair,Shampoo & Conditioner,32.0,4.6199,25836,221.0,14.4
P480636,Salicylic Acid Exfoliating Scalp Treatment,The INKEY List,Hair,Hair Styling & Treatments,15.99,3.9797,56979,197.0,7.2
P469440,"Scalp Revival Charcoal + Tea Tree Cooling Hydration Mask for Dry, Itchy Scalp",Briogeo,Hair,Hair Styling & Treatments,34.0,4.5603,38077,257.0,15.3
P434410,Elixir Ultime Hydrating Conditioner,Kérastase,Hair,Shampoo & Conditioner,46.0,3.7917,4870,24.0,20.7
P475981,Mist Spray Bottle,PATTERN by Tracee Ellis Ross,Hair,Tools,13.0,4.1778,16638,45.0,5.85
P469195,Supershine Moisturizing Hair Cream,Oribe,Hair,Hair Styling & Treatments,52.0,4.4692,20865,422.0,23.4
P434440,Densifique Thickening Shampoo for Thinning Hair,Kérastase,Hair,Shampoo & Conditioner,40.0,3.9861,27197,216.0,18.0
P479830,Bond-Building Repair Shampoo,Bumble and bumble,Hair,Shampoo & Conditioner,34.0,4.7016,6161,315.0,15.3
P472452,Vinofresh Natural Aluminum-Free Deodorant,Caudalie,Bath & Body,Body Care,16.0,3.7222,9207,234.0,6.4
P504159,Hydrabloom Body Silk With Hyaluronic Acid,Saint Jane Beauty,Bath & Body,Body Moisturizers,48.0,4.9375,1267,16.0,19.2
P468161,Whipped Argan Pro-Retinol Body Butter,Josie Maran,Bath & Body,Body Moisturizers,46.0,4.5763,25006,262.0,18.4
P466426,Hand Wash,OUAI,Bath & Body,Body Care,32.0,4.2813,12455,32.0,12.8
P480529,Power Mist Hydrating Hand Sanitizer,Touchland,Bath & Body,Body Care,10.0,4.2429,95944,177.0,4.0
P454083,The Renewal Body Oil Balm,La Mer,Bath & Body,Body Moisturizers,210.0,4.2,2060,5.0,84.0
P162554,Almond Smoothing and Beautifying Supple Skin Oil,L'Occitane,Bath & Body,Body Moisturizers,50.0,4.6064,43851,902.0,20.0
P152203,Hand and Nail Cream,Caudalie,Bath & Body,Body Moisturizers,16.0,4.5379,54762,1344.0,6.4
P476430,Butta Drop Whipped Oil Hydrating Body Cream,Fenty Skin,Bath & Body,Body Moisturizers,39.0,4.6522,2583,23.0,15.6
P107319,Cleansing And Softening Refillable Shower Oil With Almond Oil,L'Occitane,Bath & Body,Bath & Shower,29.0,4.3501,75358,1808.0,11.6
P504054,"Mini The Body Lotion - With Niacinamide, Vitamins + Peptides",Nécessaire,Bath & Body,Body Moisturizers,15.0,3.9298,3232,57.0,6.0
P500787,All Day Body Hydrator with Shea Butter,SEPHORA COLLECTION,Bath & Body,Body Moisturizers,18.0,4.2333,5438,30.0,7.2
P501493,Firm + Flaunt Targeted Booty Balm,JLo Beauty,Bath & Body,Body Moisturizers,65.0,4.0688,11991,189.0,26.0
P436757,Angie Perfume Oil,By Rosie Jane,Bath & Body,Body Moisturizers,45.0,4.3333,1094,6.0,18.0
P7844,Brown Sugar Body Polish Exfoliator,fresh,Bath & Body,Bath & Shower,67.0,4.3914,42921,856.0,26.8
P504519,Daily Defense Mineral Body Lotion SPF 30,Soleil Toujours,Bath & Body,Body Moisturizers,58.0,5.0,772,8.0,23.2
P476671,T.L.C Glycolic Body Lotion,Drunk Elephant,Bath & Body,Body Moisturizers,28.0,4.3108,27705,74.0,11.2
P484052,Mini Daily Stone Solid Body Moisturizer,Kate McLeod,Bath & Body,Body Moisturizers,12.0,4.6748,4862,206.0,4.8
